version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Initial Gemini baseline,No hypothesis tested; capture baseline evidence.,measured_cases,0,7,runs/v0_B_base_gemini_20260729T150623053827.json
v1,team,artifacts/system_prompt.md,v1+p693034d73860+t6cdb53d5d7b8,693034d73860ed6d14c34b926aa3d62a0d0191808bd9563c4edf1e56013a4144,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Replace prompt that required a tool and immediate sending with research/no-tool/send-confirmation boundaries.,R08 used send because the baseline prompt forced one tool and permitted immediate publishing; explicit no-tool scope should prevent this.,tool_routing_accuracy (not measurable),0.8571,N/A (20 provider errors),runs/v1_B_base_gemini_20260729T151708656109.json
v2,team,artifacts/system_prompt.md,v2+p07aae96c388a+t6cdb53d5d7b8,07aae96c388aab45c9b1d02d7021e729ac3628b8332e815ec37d9fdadd164e67,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Add explicit routing and argument conventions for lookup and clarify.,Vague prompt rules caused lookup to expand the query and clarify to omit required intent; exact conventions should improve measured routing and arguments.,case_accuracy,0.6667,0.85,runs/v2_B_base_gemini_20260729T152912874807.json
